price,milage,model,make,transmission,fuel,Num_Cyl,year,body_style
71900,8965,LandCruiser,Toyota,Automatic,Gasoline,8,2017,SUV
12200,46188,Sentra,Nissan,Automatic,Gasoline,4,2016,Sedan
19995,42304,Camry,Toyota,Automatic,Gasoline,6,2015,Sedan
29390,48449,Highlander,Toyota,Automatic,Gasoline,6,2015,SUV
26798,22398,Accord,Honda,Automatic,Gasoline,6,2016,Sedan
23500,31258,Odyssey,Honda,Automatic,Gasoline,6,2015,Minivan
30497,25300,Highlander,Toyota,Automatic,Gasoline,6,2015,SUV
19491,57936,RAV4,Toyota,Automatic,Gasoline,4,2015,SUV
34000,7095,Ridgeline,Honda,Automatic,Gasoline,6,2017,Pickup
14710,28281,Corolla,Toyota,Automatic,Gasoline,4,2015,Sedan
9983,111523,Maxima,Nissan,Automatic,Gasoline,6,2011,Sedan
18898,18851,CR-V,Honda,Automatic,Gasoline,4,2015,SUV
38972,14895,4Runner,Toyota,Automatic,Gasoline,6,2016,SUV
26700,45956,Titan,Nissan,Automatic,Gasoline,8,2014,Pickup
17504,30336,Camry,Toyota,Automatic,Gasoline,4,2016,Sedan
5288,132403,Murano,Nissan,Automatic,Gasoline,6,2005,SUV
29556,30249,Pilot,Honda,Automatic,Gasoline,6,2016,SUV
18995,101016,Pathfinder,Nissan,Automatic,Hybrid,4,2014,SUV
22500,7220,CR-V,Honda,Automatic,Gasoline,4,2017,SUV
11990,41364,Sentra,Nissan,Automatic,Gasoline,4,2015,Sedan
14100,43254,Corolla,Toyota,Automatic,Gasoline,4,2017,Sedan
22980,34042,Avalon,Toyota,Automatic,Gasoline,6,2015,Sedan
5500,117094,Maxima,Nissan,Automatic,Gasoline,6,2005,Sedan
15115,56346,Accord,Honda,Automatic,Gasoline,4,2015,Sedan
35000,21319,FJCruiser,Toyota,Automatic,Gasoline,6,2014,SUV
11599,62043,Camry,Toyota,Automatic,Gasoline,4,2013,Sedan
24995,46010,Odyssey,Honda,Automatic,Gasoline,6,2015,Minivan
29029,31195,Odyssey,Honda,Automatic,Gasoline,6,2015,Minivan
10399,88306,Maxima,Nissan,Automatic,Gasoline,6,2010,Sedan
15800,37706,Altima,Nissan,Automatic,Gasoline,4,2015,Sedan
10315,104428,RAV4,Toyota,Automatic,Gasoline,6,2009,SUV
11700,21557,Corolla,Toyota,Automatic,Gasoline,4,2013,Sedan
4421,113759,Accord,Honda,Automatic,Gasoline,4,2004,Coupe
15190,31389,Camry,Toyota,Automatic,Gasoline,4,2014,Sedan
7700,128940,RAV4,Toyota,Automatic,Gasoline,4,2006,SUV
10795,67341,Priusc,Toyota,Automatic,Hybrid,4,2014,Hatchback
23020,8957,CR-V,Honda,Automatic,Gasoline,4,2016,SUV
4220,153688,Corolla,Toyota,Automatic,Gasoline,4,2005,Sedan
15920,24464,Camry,Toyota,Automatic,Gasoline,4,2015,Sedan
24103,122230,Tundra,Toyota,Automatic,Flexible-Fuel,8,2010,Pickup
30980,38231,Highlander,Toyota,Automatic,Gasoline,6,2015,SUV
24995,39445,Pilot,Honda,Automatic,Gasoline,6,2015,SUV
22146,36103,CR-V,Honda,Automatic,Gasoline,4,2015,SUV
31850,24817,Ridgeline,Honda,Automatic,Gasoline,6,2017,Pickup
21399,29021,RAV4,Toyota,Automatic,Gasoline,4,2017,SUV
15690,41016,Camry,Toyota,Automatic,Gasoline,4,2016,Sedan
18500,8945,Tacoma,Toyota,Automatic,Gasoline,4,2013,Pickup
4500,155000,Odyssey,Honda,Automatic,Gasoline,6,2007,Minivan
14900,36176,Altima,Nissan,Automatic,Gasoline,4,2015,Sedan
19796,23800,RAV4,Toyota,Automatic,Gasoline,4,2017,SUV
19999,32451,RAV4,Toyota,Automatic,Gasoline,4,2015,SUV
28288,55977,Highlander,Toyota,Automatic,Gasoline,6,2015,SUV
